2022-01-01,1010,TLV,MAD,08:31+02:00,330
2022-01-01,1011,TLV,MAD,16:31+02:00,330
2022-01-01,1020,TLV,BER,06:35+02:00,300
2022-01-01,1030,TLV,ROM,08:35+02:00,270
2022-01-01,1110,MAD,TLV,06:31Z,300
2022-01-01,1111,MAD,TLV,14:31Z,300
2022-01-01,1120,BER,TLV,08:35Z,300
2022-01-01,1130,ROM,TLV,06:35Z,270
2022-01-01,2020,MAD,MEX,19:31Z,420
2022-01-01,2021,MAD,MEX,14:31Z,420
2022-01-01,2120,MEX,MAD,19:31-05:00,420
2022-01-01,2121,MEX,MAD,14:31-05:00,420
2022-01-01,3010,MEX,JFK,08:35-05:00,120
2022-01-01,3011,MEX,JFK,12:35-05:00,120
2022-01-01,3012,MEX,JFK,17:35-05:00,120
2022-01-01,3013,MEX,JFK,21:35-05:00,120
2022-01-01,3020,MEX,LAX,08:35-05:00,240
2022-01-01,3021,MEX,LAX,16:35-05:00,240
2022-01-01,3110,JFK,MEX,08:35-05:00,120
2022-01-01,3111,JFK,MEX,12:35-05:00,120
2022-01-01,3112,JFK,MEX,17:35-05:00,120
2022-01-01,3113,JFK,MEX,21:35-05:00,120
2022-01-01,3120,LAX,MEX,08:35-08:00,240
2022-01-01,3121,LAX,MEX,16:35-08:00,240
2022-01-01,4010,BER,PAR,13:35Z,90
2022-01-01,4030,BER,ROM,06:35Z,90
2022-01-01,4020,BER,JFK,06:35Z,450
2022-01-01,4021,BER,JFK,14:35Z,450
2022-01-01,4110,PAR,BER,13:35Z,90
2022-01-01,4130,ROM,BER,06:35Z,90
2022-01-01,4120,JFK,BER,06:35-05:00,420
2022-01-01,4121,JFK,BER,14:35-05:00,420
2022-01-01,5010,JFK,LAX,03:43-05:00,180
2022-01-01,5110,LAX,JFK,06:43-08:00,180
2022-01-02,1010,TLV,MAD,08:31+02:00,330
2022-01-02,1011,TLV,MAD,16:31+02:00,330
2022-01-02,1020,TLV,BER,06:35+02:00,300
2022-01-02,1030,TLV,ROM,08:35+02:00,270
2022-01-02,1110,MAD,TLV,06:31Z,300
2022-01-02,1111,MAD,TLV,14:31Z,300
2022-01-02,1120,BER,TLV,08:35Z,300
2022-01-02,1130,ROM,TLV,06:35Z,270
2022-01-02,2020,MAD,MEX,19:31Z,420
2022-01-02,2021,MAD,MEX,14:31Z,420
2022-01-02,2120,MEX,MAD,19:31-05:00,420
2022-01-02,2121,MEX,MAD,14:31-05:00,420
2022-01-02,3010,MEX,JFK,08:35-05:00,120
2022-01-02,3011,MEX,JFK,12:35-05:00,120
2022-01-02,3012,MEX,JFK,17:35-05:00,120
2022-01-02,3013,MEX,JFK,21:35-05:00,120
2022-01-02,3020,MEX,LAX,08:35-05:00,240
2022-01-02,3021,MEX,LAX,16:35-05:00,240
2022-01-02,3110,JFK,MEX,08:35-05:00,120
2022-01-02,3111,JFK,MEX,12:35-05:00,120
2022-01-02,3112,JFK,MEX,17:35-05:00,120
2022-01-02,3113,JFK,MEX,21:35-05:00,120
2022-01-02,3120,LAX,MEX,08:35-08:00,240
2022-01-02,3121,LAX,MEX,16:35-08:00,240
2022-01-02,4010,BER,PAR,13:35Z,90
2022-01-02,4030,BER,ROM,06:35Z,90
2022-01-02,4020,BER,JFK,06:35Z,450
2022-01-02,4021,BER,JFK,14:35Z,450
2022-01-02,4110,PAR,BER,13:35Z,90
2022-01-02,4130,ROM,BER,06:35Z,90
2022-01-02,4120,JFK,BER,06:35-05:00,420
2022-01-02,4121,JFK,BER,14:35-05:00,420
2022-01-02,5010,JFK,LAX,03:43-05:00,180
2022-01-02,5110,LAX,JFK,06:43-08:00,180
2022-01-03,1010,TLV,MAD,08:31+02:00,330
2022-01-03,1011,TLV,MAD,16:31+02:00,330
2022-01-03,1020,TLV,BER,06:35+02:00,300
2022-01-03,1030,TLV,ROM,08:35+02:00,270
2022-01-03,1110,MAD,TLV,06:31Z,300
2022-01-03,1111,MAD,TLV,14:31Z,300
2022-01-03,1120,BER,TLV,08:35Z,300
2022-01-03,1130,ROM,TLV,06:35Z,270
2022-01-03,2020,MAD,MEX,19:31Z,420
2022-01-03,2021,MAD,MEX,14:31Z,420
2022-01-03,2120,MEX,MAD,19:31-05:00,420
2022-01-03,2121,MEX,MAD,14:31-05:00,420
2022-01-03,3010,MEX,JFK,08:35-05:00,120
2022-01-03,3011,MEX,JFK,12:35-05:00,120
2022-01-03,3012,MEX,JFK,17:35-05:00,120
2022-01-03,3013,MEX,JFK,21:35-05:00,120
2022-01-03,3020,MEX,LAX,08:35-05:00,240
2022-01-03,3021,MEX,LAX,16:35-05:00,240
2022-01-03,3110,JFK,MEX,08:35-05:00,120
2022-01-03,3111,JFK,MEX,12:35-05:00,120
2022-01-03,3112,JFK,MEX,17:35-05:00,120
2022-01-03,3113,JFK,MEX,21:35-05:00,120
2022-01-03,3120,LAX,MEX,08:35-08:00,240
2022-01-03,3121,LAX,MEX,16:35-08:00,240
2022-01-03,4010,BER,PAR,13:35Z,90
2022-01-03,4030,BER,ROM,06:35Z,90
2022-01-03,4020,BER,JFK,06:35Z,450
2022-01-03,4021,BER,JFK,14:35Z,450
2022-01-03,4110,PAR,BER,13:35Z,90
2022-01-03,4130,ROM,BER,06:35Z,90
