2022-01-01,1010,0,565.0
2022-01-01,1011,0,562.0
2022-01-01,1020,0,512.0
2022-01-01,1030,0,462.0
2022-01-01,1110,0,515.0
2022-01-01,1111,0,515.0
2022-01-01,1120,0,512.0
2022-01-01,1130,0,460.0
2022-01-01,2020,0,721.0
2022-01-01,2021,0,717.0
2022-01-01,2120,0,715.0
2022-01-01,2121,0,720.0
2022-01-01,3010,0,206.0
2022-01-01,3011,0,205.0
2022-01-01,3012,0,206.0
2022-01-01,3013,0,205.0
2022-01-01,3020,0,412.0
2022-01-01,3021,0,413.0
2022-01-01,3110,0,205.0
2022-01-01,3111,0,206.0
2022-01-01,3112,0,205.0
2022-01-01,3113,0,205.0
2022-01-01,3120,0,411.0
2022-01-01,3121,0,410.0
2022-01-01,4010,0,154.0
2022-01-01,4030,0,154.0
2022-01-01,4020,0,773.0
2022-01-01,4021,0,771.0
2022-01-01,4110,0,155.0
2022-01-01,4130,0,154.0
2022-01-01,4120,0,721.0
2022-01-01,4121,0,719.0
2022-01-01,5010,0,307.0
2022-01-01,5110,0,309.0
2022-01-02,1010,0,564.0
2022-01-02,1011,0,561.0
2022-01-02,1020,0,511.0
2022-01-02,1030,0,461.0
2022-01-02,1110,0,514.0
2022-01-02,1111,0,514.0
2022-01-02,1120,0,511.0
2022-01-02,1130,0,459.0
2022-01-02,2020,0,719.0
2022-01-02,2021,0,716.0
2022-01-02,2120,0,714.0
2022-01-02,2121,0,719.0
2022-01-02,3010,0,206.0
2022-01-02,3011,0,205.0
2022-01-02,3012,0,205.0
2022-01-02,3013,0,204.0
2022-01-02,3020,0,411.0
2022-01-02,3021,0,412.0
2022-01-02,3110,0,204.0
2022-01-02,3111,0,206.0
2022-01-02,3112,0,204.0
2022-01-02,3113,0,204.0
2022-01-02,3120,0,410.0
2022-01-02,3121,0,409.0
2022-01-02,4010,0,154.0
2022-01-02,4030,0,154.0
2022-01-02,4020,0,771.0
2022-01-02,4021,0,770.0
2022-01-02,4110,0,155.0
2022-01-02,4130,0,153.0
2022-01-02,4120,0,720.0
2022-01-02,4121,0,717.0
2022-01-02,5010,0,307.0
2022-01-02,5110,0,308.0
2022-01-03,1010,1,563.0
2022-01-03,1011,1,560.0
2022-01-03,1020,1,510.0
2022-01-03,1030,1,460.0
2022-01-03,1110,1,513.0
2022-01-03,1111,1,513.0
2022-01-03,1120,1,510.0
2022-01-03,1130,1,458.0
2022-01-03,2020,1,718.0
2022-01-03,2021,1,714.0
2022-01-03,2120,1,713.0
